STATE,DISTRICT,Ph OF SOIL,TEMPERATURE,RAINFALL
Bihar,Bhagalpur,8.303139962,25.46332354,106.651707
Bihar,Bhagalpur,7.911468751,33.50644506,105.6440698
Bihar,Bhagalpur,7.733855344,32.07369244,112.7220227
Bihar,Bhagalpur,7.342807223,29.71915769,107.7115569
Bihar,Bhagalpur,8.014090631,29.99773946,107.2083814
Bihar,Bhagalpur,7.893892763,33.18962695,114.2828504
Bihar,Bhagalpur,7.354101136,32.26594886,109.4889804
Bihar,Bhagalpur,7.898374437,27.03417675,105.7128015
Bihar,Bhagalpur,7.647297419,23.47743634,113.2305584
Bihar,Bhagalpur,7.772644208,36.86034065,111.9923249
Bihar,Bhagalpur,7.724490381,21.92087471,108.4957959
Bihar,Bhagalpur,7.988189727,25.45212615,108.2679683
Bihar,Bhagalpur,7.663608435,22.62415818,113.4592777
Bihar,Bhagalpur,8.076816511,21.60874863,106.0145553
Bihar,Bhagalpur,7.338573509,35.23157449,108.8934969
Bihar,Bhagalpur,7.592449433,27.96788072,106.3358071
Bihar,Bhagalpur,8.367494422,34.88008384,113.7968388
Bihar,Bhagalpur,7.812966165,23.25992915,111.3499679
Bihar,Bhagalpur,7.921415275,35.70003265,110.447169
Bihar,Bhagalpur,7.759342079,29.05796772,107.1584596
Bihar,Bhagalpur,7.553085213,30.07600215,109.2326929
Bihar,Bhagalpur,8.230139345,25.61077799,109.8176393
Bihar,Bhagalpur,7.813526632,25.46086464,106.3311429
Bihar,Bhagalpur,7.468734347,23.97508475,111.8188998
Bihar,Bhagalpur,7.27782511,29.93156907,107.9809266
Bihar,Bhagalpur,7.260472523,34.46625549,108.1342215
Bihar,Bhagalpur,8.090970572,35.62523511,112.010719
Bihar,Bhagalpur,7.502878104,25.57040166,112.9879737
Bihar,Bhagalpur,7.688534,34.98753777,107.8808936
Bihar,Bhagalpur,8.252397296,35.36736399,110.7109305
Bihar,Bhagalpur,8.377438996,31.5650454,106.3906463
Bihar,Bhagalpur,7.980899387,22.21604632,111.1530751
Bihar,Bhagalpur,7.980156809,25.64748688,106.7555512
Bihar,Bhagalpur,7.746601421,35.54995039,112.0617843
Bihar,Bhagalpur,7.351552135,33.67153508,112.4810608
Bihar,Bhagalpur,8.298232823,33.16857701,107.7566991
Bihar,Bhagalpur,7.394243063,28.12099931,114.5302499
Bihar,Bhagalpur,7.786865623,25.43698315,105.5342209
